tiempo_s,amplitud
0.00000000,0.74686047
0.00005556,0.76062298
0.00011111,0.77405185
0.00016667,0.78714120
0.00022222,0.79988529
0.00027778,0.81227851
0.00033333,0.82431545
0.00038889,0.83599081
0.00044444,0.84729948
0.00050000,0.85823649
0.00055556,0.86879706
0.00061111,0.87897654
0.00066667,0.88877047
0.00072222,0.89817456
0.00077778,0.90718468
0.00083333,0.91579688
0.00088889,0.92400738
0.00094444,0.93181258
0.00100000,0.93920906
0.00105556,0.94619357
0.00111111,0.95276304
0.00116667,0.95891460
0.00122222,0.96464556
0.00127778,0.96995338
0.00133333,0.97483575
0.00138889,0.97929053
0.00144444,0.98331576
0.00150000,0.98690967
0.00155556,0.99007069
0.00161111,0.99279744
0.00166667,0.99508871
0.00172222,0.99694350
0.00177778,0.99836100
0.00183333,0.99934058
0.00188889,0.99988183
0.00194444,0.99998449
0.00200000,0.99964852
0.00205556,0.99887408
0.00211111,0.99766149
0.00216667,0.99601130
0.00222222,0.99392422
0.00227778,0.99140118
0.00233333,0.98844328
0.00238889,0.98505181
0.00244444,0.98122826
0.00250000,0.97697432
0.00255556,0.97229184
0.00261111,0.96718289
0.00266667,0.96164969
0.00272222,0.95569469
0.00277778,0.94932048
0.00283333,0.94252987
0.00288889,0.93532584
0.00294444,0.92771154
0.00300000,0.91969032
0.00305556,0.91126569
0.00311111,0.90244135
0.00316667,0.89322117
0.00322222,0.88360919
0.00327778,0.87360963
0.00333333,0.86322688
0.00338889,0.85246549
0.00344444,0.84133018
0.00350000,0.82982583
0.00355556,0.81795749
0.00361111,0.80573038
0.00366667,0.79314984
0.00372222,0.78022140
0.00377778,0.76695072
0.00383333,0.75334364
0.00388889,0.73940612
0.00394444,0.72514427
0.00400000,0.71056435
0.00405556,0.69567275
0.00411111,0.68047600
0.00416667,0.66498078
0.00422222,0.64919387
0.00427778,0.63312221
0.00433333,0.61677283
0.00438889,0.60015292
0.00444444,0.58326977
0.00450000,0.56613077
0.00455556,0.54874344
0.00461111,0.53111543
0.00466667,0.51325444
0.00472222,0.49516833
0.00477778,0.47686502
0.00483333,0.45835254
0.00488889,0.43963901
0.00494444,0.42073264
0.00500000,0.40164172
0.00505556,0.38237463
0.00511111,0.36293982
0.00516667,0.34334581
0.00522222,0.32360120
0.00527778,0.30371465
0.00533333,0.28369487
0.00538889,0.26355066
0.00544444,0.24329085
0.00550000,0.22292432
0.00555556,0.20246001
0.00561111,0.18190689
0.00566667,0.16127399
0.00572222,0.14057034
0.00577778,0.11980503
0.00583333,0.09898718
0.00588889,0.07812590
0.00594444,0.05723036
0.00600000,0.03630971
