tiempo_s,amplitud
0.00000000,0.92076681
0.00005556,0.89393181
0.00011111,0.86675700
0.00016667,0.83937737
0.00022222,0.81192554
0.00027778,0.78453057
0.00033333,0.75731687
0.00038889,0.73040311
0.00044444,0.70390116
0.00050000,0.67791521
0.00055556,0.65254088
0.00061111,0.62786447
0.00066667,0.60396227
0.00072222,0.58090001
0.00077778,0.55873243
0.00083333,0.53750291
0.00088889,0.51724329
0.00094444,0.49797374
0.00100000,0.47970281
0.00105556,0.46242756
0.00111111,0.44613381
0.00116667,0.43079654
0.00122222,0.41638035
0.00127778,0.40284004
0.00133333,0.39012132
0.00138889,0.37816154
0.00144444,0.36689059
0.00150000,0.35623176
0.00155556,0.34610277
0.00161111,0.33641674
0.00166667,0.32708332
0.00172222,0.31800973
0.00177778,0.30910188
0.00183333,0.30026546
0.00188889,0.29140705
0.00194444,0.28243518
0.00200000,0.27326137
0.00205556,0.26380108
0.00211111,0.25397471
0.00216667,0.24370842
0.00222222,0.23293491
0.00227778,0.22159417
0.00233333,0.20963406
0.00238889,0.19701082
0.00244444,0.18368953
0.00250000,0.16964436
0.00255556,0.15485882
0.00261111,0.13932581
0.00266667,0.12304762
0.00272222,0.10603577
0.00277778,0.08831078
0.00283333,0.06990185
0.00288889,0.05084634
0.00294444,0.03118930
0.00300000,0.01098280
0.00305556,-0.00971476
0.00311111,-0.03083946
0.00316667,-0.05232268
0.00322222,-0.07409201
0.00327778,-0.09607218
0.00333333,-0.11818602
0.00338889,-0.14035547
0.00344444,-0.16250254
0.00350000,-0.18455032
0.00355556,-0.20642395
0.00361111,-0.22805154
0.00366667,-0.24936511
0.00372222,-0.27030141
0.00377778,-0.29080270
0.00383333,-0.31081753
0.00388889,-0.33030132
0.00394444,-0.34921696
0.00400000,-0.36753525
0.00405556,-0.38523528
0.00411111,-0.40230469
0.00416667,-0.41873981
0.00422222,-0.43454572
0.00427778,-0.44973620
0.00433333,-0.46433353
0.00438889,-0.47836822
0.00444444,-0.49187863
0.00450000,-0.50491050
0.00455556,-0.51751630
0.00461111,-0.52975465
0.00466667,-0.54168951
0.00472222,-0.55338935
0.00477778,-0.56492629
0.00483333,-0.57637512
0.00488889,-0.58781234
0.00494444,-0.59931511
0.00500000,-0.61096023
0.00505556,-0.62282307
0.00511111,-0.63497654
0.00516667,-0.64749003
0.00522222,-0.66042843
0.00527778,-0.67385113
0.00533333,-0.68781114
0.00538889,-0.70235422
0.00544444,-0.71751807
0.00550000,-0.73333168
0.00555556,-0.74981465
0.00561111,-0.76697674
0.00566667,-0.78481742
0.00572222,-0.80332556
0.00577778,-0.82247929
0.00583333,-0.84224587
0.00588889,-0.86258179
0.00594444,-0.88343288
0.00600000,-0.90473467
0.00605556,-0.92641274
0.00611111,-0.94838325
0.00616667,-0.97055358
0.00622222,-0.99282302
0.00627778,-1.01508367
0.00633333,-1.03722127
0.00638889,-1.05911625
0.00644444,-1.08064478
0.00650000,-1.10167985
0.00655556,-1.12209250
0.00661111,-1.14175299
0.00666667,-1.16053201
0.00672222,-1.17830193
0.00677778,-1.19493806
0.00683333,-1.21031979
0.00688889,-1.22433186
0.00694444,-1.23686544
0.00700000,-1.24781927
0.00705556,-1.25710065
0.00711111,-1.26462641
0.00716667,-1.27032376
0.00722222,-1.27413107
0.00727778,-1.27599853
0.00733333,-1.27588869
0.00738889,-1.27377693
0.00744444,-1.26965173
0.00750000,-1.26351490
0.00755556,-1.25538158
0.00761111,-1.24528024
0.00766667,-1.23325243
0.00772222,-1.21935249
0.00777778,-1.20364705
0.00783333,-1.18621452
0.00788889,-1.16714436
0.00794444,-1.14653633
0.00800000,-1.12449955
0.00805556,-1.10115156
0.00811111,-1.07661727
0.00816667,-1.05102779
0.00822222,-1.02451926
0.00827778,-0.99723164
0.00833333,-0.96930741
0.00838889,-0.94089032
0.00844444,-0.91212406
0.00850000,-0.88315101
0.00855556,-0.85411095
0.00861111,-0.82513985
0.00866667,-0.79636865
0.00872222,-0.76792215
0.00877778,-0.73991793
0.00883333,-0.71246541
0.00888889,-0.68566488
0.00894444,-0.65960677
0.00900000,-0.63437092
0.00905556,-0.61002603
0.00911111,-0.58662914
0.00916667,-0.56422537
0.00922222,-0.54284764
0.00927778,-0.52251661
0.00933333,-0.50324070
0.00938889,-0.48501628
0.00944444,-0.46782792
0.00950000,-0.45164882
0.00955556,-0.43644132
0.00961111,-0.42215750
0.00966667,-0.40873997
0.00972222,-0.39612262
0.00977778,-0.38423153
0.00983333,-0.37298599
0.00988889,-0.36229948
0.00994444,-0.35208078
0.01000000,-0.34223507
0.01005556,-0.33266510
0.01011111,-0.32327232
0.01016667,-0.31395805
0.01022222,-0.30462463
0.01027778,-0.29517651
0.01033333,-0.28552137
0.01038889,-0.27557112
0.01044444,-0.26524285
0.01050000,-0.25445980
0.01055556,-0.24315211
0.01061111,-0.23125756
0.01066667,-0.21872226
0.01072222,-0.20550108
0.01077778,-0.19155818
0.01083333,-0.17686724
0.01088889,-0.16141168
0.01094444,-0.14518476
0.01100000,-0.12818950
0.01105556,-0.11043859
0.01111111,-0.09195404
0.01116667,-0.07276688
0.01122222,-0.05291663
0.01127778,-0.03245077
0.01133333,-0.01142402
0.01138889,0.01010237
0.01144444,0.03206145
0.01150000,0.05438147
0.01155556,0.07698681
0.01161111,0.09979895
0.01166667,0.12273751
0.01172222,0.14572123
0.01177778,0.16866905
0.01183333,0.19150110
0.01188889,0.21413972
0.01194444,0.23651043
0.01200000,0.25854288
0.01205556,0.28017171
0.01211111,0.30133735
0.01216667,0.32198681
0.01222222,0.34207428
0.01227778,0.36156174
0.01233333,0.38041940
0.01238889,0.39862610
0.01244444,0.41616955
0.01250000,0.43304646
0.01255556,0.44926260
0.01261111,0.46483274
0.01266667,0.47978040
0.01272222,0.49413759
0.01277778,0.50794441
0.01283333,0.52124850
